Inchi_Key1,Inchi_Key2,Similarity_Score
BGVVQFKZMVLQSY-UHFFFAOYSA-N,AXJIOTBRMMSZEY-UHFFFAOYSA-N,0.66
BGVZDVDTSYXXCN-UHFFFAOYSA-N,AFPBMVNSJBBMPQ-NDEPHWFRSA-N,0.52
BGWADTFLQQUACM-BQYQJAHWSA-N,AEYWERVVAPSYPT-YIXHJXPBSA-N,0.5
BGWADTFLQQUACM-BQYQJAHWSA-N,BEZQTLICSGQQAI-KTKRTIGZSA-N,0.6
BGWCVFVVICITEJ-UHFFFAOYSA-N,AWLBMJCZDSEMQZ-UHFFFAOYSA-N,0.65
BGWFDRCINDCBII-UHFFFAOYSA-K,ABMWSVLNUPGRDZ-UHFFFAOYSA-K,0.6
BGWFDRCINDCBII-UHFFFAOYSA-K,AJZPLUDFUHWRHS-UHFFFAOYSA-K,0.56
BGWFZSXTPYBYBH-LYNSQETBSA-N,ANNPALXBOKTDBF-VYIIXAMBSA-N,0.54
BGWHXWXUGVBBRJ-AWEZNQCLSA-N,AIVCJNWFJCLYGU-MRXNPFEDSA-N,0.67
BGWHXWXUGVBBRJ-AWEZNQCLSA-N,AOQNUAUZFQJNHU-CQSZACIVSA-N,0.62
BGWHXWXUGVBBRJ-AWEZNQCLSA-N,AVBUUVYVWXKOJB-AWEZNQCLSA-N,0.67
BGWHXWXUGVBBRJ-AWEZNQCLSA-N,AYICDFKLBCUUCO-HNNXBMFYSA-N,0.69
BGWIPJLWWIUCRL-UHFFFAOYSA-N,ABVSYWGFUNXYAC-UHFFFAOYSA-N,0.84
BGWIPJLWWIUCRL-UHFFFAOYSA-N,AVRGOCDNYXWVMM-UHFFFAOYSA-N,0.62
BGWIYNOSFPSWQD-UHFFFAOYSA-N,ATSWBWHRHAQVFM-UHFFFAOYSA-N,0.6
BGWIYNOSFPSWQD-UHFFFAOYSA-N,AZEUXKDDOTYWFE-UHFFFAOYSA-N,0.53
BGWLJJSQLYVDMU-AYIXGAFQSA-N,AMIHUYQKNJHXPT-BDHHQKMPSA-N,0.65
BGWLJJSQLYVDMU-AYIXGAFQSA-N,AMIHUYQKNJHXPT-UHFFFAOYSA-N,0.65
BGWLJJSQLYVDMU-AYIXGAFQSA-N,AMIHUYQKNJHXPT-XNSJETLRSA-N,0.65
BGWLJJSQLYVDMU-AYIXGAFQSA-N,AMIHUYQKNJHXPT-YLSDRQSESA-N,0.65
BGWLJJSQLYVDMU-IKZIGJDKSA-N,AMIHUYQKNJHXPT-BDHHQKMPSA-N,0.65
BGWLJJSQLYVDMU-IKZIGJDKSA-N,AMIHUYQKNJHXPT-UHFFFAOYSA-N,0.65
BGWLJJSQLYVDMU-IKZIGJDKSA-N,AMIHUYQKNJHXPT-XNSJETLRSA-N,0.65
BGWLJJSQLYVDMU-IKZIGJDKSA-N,AMIHUYQKNJHXPT-YLSDRQSESA-N,0.65
BGWLJJSQLYVDMU-IKZIGJDKSA-N,BGWLJJSQLYVDMU-AYIXGAFQSA-N,1
BGWLJJSQLYVDMU-OUCWGHPISA-N,AMIHUYQKNJHXPT-BDHHQKMPSA-N,0.65
BGWLJJSQLYVDMU-OUCWGHPISA-N,AMIHUYQKNJHXPT-UHFFFAOYSA-N,0.65
BGWLJJSQLYVDMU-OUCWGHPISA-N,AMIHUYQKNJHXPT-XNSJETLRSA-N,0.65
BGWLJJSQLYVDMU-OUCWGHPISA-N,AMIHUYQKNJHXPT-YLSDRQSESA-N,0.65
BGWLJJSQLYVDMU-OUCWGHPISA-N,BGWLJJSQLYVDMU-AYIXGAFQSA-N,1
BGWLJJSQLYVDMU-OUCWGHPISA-N,BGWLJJSQLYVDMU-IKZIGJDKSA-N,1
BGWLJJSQLYVDMU-RHJZULMUSA-N,AMIHUYQKNJHXPT-BDHHQKMPSA-N,0.65
BGWLJJSQLYVDMU-RHJZULMUSA-N,AMIHUYQKNJHXPT-UHFFFAOYSA-N,0.65
BGWLJJSQLYVDMU-RHJZULMUSA-N,AMIHUYQKNJHXPT-XNSJETLRSA-N,0.65
BGWLJJSQLYVDMU-RHJZULMUSA-N,AMIHUYQKNJHXPT-YLSDRQSESA-N,0.65
BGWLJJSQLYVDMU-RHJZULMUSA-N,BGWLJJSQLYVDMU-AYIXGAFQSA-N,1
BGWLJJSQLYVDMU-RHJZULMUSA-N,BGWLJJSQLYVDMU-IKZIGJDKSA-N,1
BGWLJJSQLYVDMU-RHJZULMUSA-N,BGWLJJSQLYVDMU-OUCWGHPISA-N,1
BGWLQENWEYEDFQ-UHFFFAOYSA-N,AEOCCSKJQVZLNC-UHFFFAOYSA-N,0.51
BGWMCYCHLWPGRV-CYBMUJFWSA-N,BAURARYTOUFKMG-OAHLLOKOSA-N,0.65
BGWMCYCHLWPGRV-CYBMUJFWSA-N,BEMUNJONNGSREM-OAHLLOKOSA-N,0.65
BGWPDCGJAOOMJL-UHFFFAOYSA-N,ABPPDSVPLCWIMX-UHFFFAOYSA-N,0.61
BGWPDCGJAOOMJL-UHFFFAOYSA-N,ANYYSWDTIHWUQV-UHFFFAOYSA-N,0.7
BGWPDCGJAOOMJL-UHFFFAOYSA-N,AXUWIQCNRVQDRS-UHFFFAOYSA-N,0.59
BGWQKCHJKBRVRX-IZLXSDGUSA-N,AOYOMCFAVFSUJS-UHFFFAOYSA-N,0.51
BGWRLXAKBUUMEC-UHFFFAOYSA-N,AKNGGPYBXULRJE-UHFFFAOYSA-N,0.51
BGWRLXAKBUUMEC-UHFFFAOYSA-N,BFZMZQCRZNOAGD-UHFFFAOYSA-N,0.61
BGWXAFOHHXWKBL-GJZGRUSLSA-N,AEHRPTKVJXBKLK-JSGCOSHPSA-N,0.68
BGWXAFOHHXWKBL-GJZGRUSLSA-N,AMDKXHDHTGJRDI-RDJZCZTQSA-N,0.52
