"ChemicalID";"Inchi_Key";"Canonical_Smiles";FDA_Approved
"MLS001110963";"AAFSCBARLTYFOK-UHFFFAOYSA-N";"CCOc1ccc(NCc2cccn2c3nnc(s3)N4CCC(CC4)C(=O)NCCCN5CCCCC5CC)cc1";0
"SCHEMBL3719727";"AAFWZBHKJVDTIK-UHFFFAOYSA-N";"Cc1cccc(C)c1N2CCN(Cc3cccc(Cl)c3Cl)C(=O)C2=O";0
"MLS002177875";"AAFYALRCZZHOMI-UHFFFAOYSA-N";"COc1ccc(cc1)c2cn(CCC(=O)O)c(C)n2";0
"CHEMBL2022656";"AAFYPWXCJRYVKV-ILTCGSTDSA-N";"C[C@]12Cc3cnn(c3C=C1CC[C@H]4[C@@H]5CC[C@](O)(C(=O)CSc6oc7cccnc7n6)[C@@]5(C)C[C@H](O)[C@H]24)c8ccccc8";0
"CHEMBL440413";"AAGCROWGMVRBQK-UHFFFAOYSA-N";"ONC(=O)Nc1ccc(NC(=O)NO)cc1";0
"CHEMBL583230";"AAGFPQMUULEKGM-UHFFFAOYSA-N";"Fc1ccc(cc1)C(=O)Nc2ccc(Cl)c(c2)c3nc4ccccc4[nH]3";0
"CHEMBL10248";"AAGGENJJHKGQRB-UHFFFAOYSA-N";"Cc1ccc2C(=O)OC(=Nc2c1)Nc3ccccc3I";0
"CHEMBL2441218";"AAGGKZQYACEUHR-UHFFFAOYSA-N";"CCOC(=O)C1CCN(CC1)c2ccc(NC(=O)c3oc(nc3C(F)(F)F)c4ccccc4)cn2";0
"CHEMBL2043059";"AAGGVYSSHNZWQJ-ZHZULCJRSA-N";"CCN(CC)CCCCOc1cc2C(=O)\C(=C/c3ccncc3)\Cc2cc1OC";0
"SCHEMBL839212";"AAGISEXHOPCAHZ-KRWDZBQOSA-N";"CC(C)OC[C@H](Oc1ncnc2c1cnn2c3ncccc3Cl)C(=O)Nc4ccc(C)cn4";0
"CHEMBL1835209";"AAGJQHMOJORKRA-GICMHUMYSA-N";"CC(C)[C@H](NC(=O)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](C)C(=O)N[C@H]1CC(=O)OC1O";0
"CHEMBL2048906";"AAGKMGNYUYCEPD-UHFFFAOYSA-N";"CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc5sncc45)c(Cl)c3)c12";0
"CHEMBL137289";"AAGRTSQWFMWIDF-UHFFFAOYSA-N";"NS(=O)(=O)Oc1ccc2OC(=CC(=O)c2c1)C3CCCCCCCCCCC3";0
"SCHEMBL1194270";"AAGWRBSJRXEYRE-UHFFFAOYSA-N";"Cc1nn(CCN)c(C)c1CC(=O)NCc2ccc(F)cc2Cl";0
"CHEMBL511000";"AAGZFGSRAZMRCS-RRLKWQEHSA-N";"CC1(C)CC[C@@]2(CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]2C1)C(=O)Nc6ccc(cc6)C(=O)O";0
"CHEMBL151310";"AAHCRDONHPHFSA-WAAYAITMSA-N";"C[C@@H]1CC[C@@H]2[C@H](COC(=O)N(C)C)[C@@]1(C)CC\C(=C\CC[C@@]3(C)O[C@@H]3C2=O)\C";0
"CHEMBL2234327";"AAHDVRRKEJZSPG-UHFFFAOYSA-N";"OC1=C(Sc2ccccc2Cl)C(=O)OC(COc3ccc4ccccc4c3)(C1)c5ccccc5";0
"CHEMBL3291018";"AAHFVXABQPDRND-UHFFFAOYSA-N";"Oc1ccc(CN(CCC2CCN(Cc3ccccc3)CC2)CC#C)c4cccnc14";0
"CHEMBL326066";"AAHGDCOQBZOQPP-UHFFFAOYSA-N";"CC(=O)OC1=C(Sc2ccc(C)cc2n3cccc13)c4ccccc4";0
"CHEMBL1760054";"AAHOZWNLWKBWNN-UHFFFAOYSA-N";"Clc1cccc(Nc2nccc(Nc3cnc4ccccc4c3)n2)c1";0
"CHEMBL1097899";"AAHPRKDUIDQODH-UHFFFAOYSA-N";"CN1CCC(CC1)NC(=O)Nc2ccc(cc2)c3nc(N4CCOCC4)c5cnn(C6CCN(Cc7ccccc7)CC6)c5n3";0
"CHEMBL98911";"AAHQDWBMLVLXAC-UHFFFAOYSA-N";"ONC(=O)CCCCCCC(=O)c1cccnc1";0
"CHEMBL2048238";"AAHSJQYCSXHAGK-UHFFFAOYSA-N";"OP(=O)(O)C(Nc1cncc(c1)c2ccccc2)P(=O)(O)O";0
"CHEMBL1209858";"AAIAIAXTLDUXPE-UHFFFAOYSA-N";"CCCOc1ccc(cc1C(F)(F)F)c2cc3[nH]cnc3c(n2)C#N";0
"CHEMBL561446";"AAICVIMODTZYOT-UHFFFAOYSA-N";"CCCCCCS(=O)(=O)c1cc(Cl)c(C(=O)CCN(C)C)c(Cl)c1";0
"SMR000079762";"AAIFTYZQORXNOX-UHFFFAOYSA-N";"Cn1c(CNC(=O)c2occc2)nnc1SCC(=O)N3c4ccccc4Sc5ccccc35";0
"CHEMBL207502";"AAIHLDQORIUJKB-UHFFFAOYSA-N";"Cc1[nH]c2cc(N)ccc2c1c3ccncc3";0
"CHEMBL74724";"AAIOJDBWRIXHON-UHFFFAOYSA-N";"Cc1nc(O)c2c(ccc3ccc(Cl)cc23)n1";0
"CHEMBL204391";"AAIQXNZXWNXHSX-UHFFFAOYSA-N";"CN1C(=O)C=C(NC(=O)C)c2cc(c3ccc(Cl)cc3)c(nc12)c4ccc(Cl)cc4Cl";0
"MLS000391760";"AAISUDVSXFOHOW-LFIBNONCSA-N";"Cc1ccc2cc(\C=C(/C#N)\C(=O)N)c(nc2c1)N3CCCCC3";0
"CHEMBL2047680";"AAIYXSVMDBVZTF-OQLLNIDSSA-N";"N\N=C(/Cc1ccc(O)c(Br)c1)\C(=O)NCCS";0
"CHEMBL2158994";"AAJCCATVSUSRCY-MDWZMJQESA-N";"CN(C)CCOc1ccc(cc1)C(=O)\C=C\c2ccccc2";0
"MLS-0146264.0001";"AAJFRQZOLGOAOP-UHFFFAOYSA-N";"Clc1c(Cl)c(Cl)c2C(=O)N(C(=O)c2c1Cl)c3ncn[nH]3";0
"CHEMBL1911119";"AAJJPPFJEBWFIA-UHFFFAOYSA-N";"COc1cc(cc2c1nc(C(F)F)n2c3nc(nc(n3)N4CCOCC4)N5CCOCC5)N(C)C";0
"SCHEMBL2558081";"AAJJTYFYVYZEFM-UHFFFAOYSA-N";"Oc1ccccc1CNC(=O)Nc2nc(cs2)c3ccncc3";0
"SCHEMBL2589992";"AAJMBUNHJRDMPE-UHFFFAOYSA-N";"COc1ccc2OCC3(C(=O)Nc4ccccc34)c2n1";0
"CHEMBL297026";"AAJMDXJCRACJMX-HOTGVXAUSA-N";"OCCNCCCC[C@H](N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O)C(=O)O";0
"CHEMBL1258904";"AAJMQTLFRTZCJK-UHFFFAOYSA-N";"CCC(=O)N1CCC(CC1)NC(=O)Nc2ccc(OC(F)(F)F)cc2";0
"CHEMBL222866";"AAJNAPQWOPAZAE-BUROSNQKSA-M";"[Na+].Cc1cccc2sc3nc(\C=C\4/[C@H]5SC=C(N5C4=O)C(=O)[O-])cn3c12";0
"CHEMBL235063";"AAJNWJFLYOFHIB-UHFFFAOYSA-N";"COc1ccc(F)cc1C(C)(C)CC(O)(Cc2ccc(cc2Cl)C#N)C(F)(F)F";0
"N-Benzyldodecanamide";"AAJQYMJRUXQQCP-UHFFFAOYSA-N";"CCCCCCCCCCCC(=O)NCc1ccccc1";0
"CHEMBL478548";"AAJUUVKJDXQMDP-VIFPVBQESA-N";"N[C@@H](CCC(=O)Nc1ccccc1)C(=O)N";0
"CHEMBL204705";"AAKBFDPOXZBIAO-UHFFFAOYSA-N";"O=C1CCCCN1Cc2ccc(OCCCN3CCC(Cc4c[nH]cn4)CC3)cc2";0
